raw_query,cleaned_query,topic,topic_label,topic_label_final
assistance adding something,assistance adding something,9,Order Modifications,Order Modifications
assistance buying something,assistance buying something,21,Buying Assistance,Buying Assistance
assistance checking what options for delivery you offer,assistance checking what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
assistance filing a claim against ur business,assistance filing a claim against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance filing a complaint against your business,assistance filing a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance leaving a review for a service,assistance leaving a review for a service,23,Leaving a Review,Leaving a Review
assistance leaving a review for your company,assistance leaving a review for your company,23,Leaving a Review,Leaving a Review
assistance lodging a reclamation against your organization,assistance lodging a reclamation against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
assistance registering,assistance registering,19,Registration Help & Issues,Registration Help & Issues
assistance reporting a payment issue,assistance reporting a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
assistance reporting a registration issue,assistance reporting a registration issue,19,Registration Help & Issues,Registration Help & Issues
assistance reporting issues with payment,assistance reporting issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance reporting issues with payments,assistance reporting issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
assistance reporting payment issues,assistance reporting payment issues,17,Payment Issues Assistance,Payment Issues Assistance
assistance reporting registration issues,assistance reporting registration issues,19,Registration Help & Issues,Registration Help & Issues
assistance seeing the termination penalty,assistance seeing the termination penalty,13,Cancellation Fees,Cancellation Fees
assistance solving issues with payment,assistance solving issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance speaking with an agent,assistance speaking with an agent,12,Contact Live Agent,Contact Live Agent
assistance switching user,assistance switching user,14,Switching Accounts,Switching Accounts
assistance talking to an agent,assistance talking to an agent,12,Contact Live Agent,Contact Live Agent
assistance talking to an assistant,assistance talking to an assistant,12,Contact Live Agent,Contact Live Agent
assistance to buy something,assistance to buy something,21,Buying Assistance,Buying Assistance
assistance to change my personal details,assistance to change my personal details,25,Edit Account Information,Edit Account Information
assistance to check the early termination fees,assistance to check the early termination fees,13,Cancellation Fees,Cancellation Fees
assistance to check the early termination penalty,assistance to check the early termination penalty,13,Cancellation Fees,Cancellation Fees
assistance to check what options for delivery you offer,assistance to check what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
assistance to contact a person,assistance to contact a person,12,Contact Live Agent,Contact Live Agent
assistance to register,assistance to register,19,Registration Help & Issues,Registration Help & Issues
assistance to report a payment issue,assistance to report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
assistance to report a registration issue,assistance to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
assistance to report issues with payment,assistance to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance to report issues with payments,assistance to report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
assistance to report payment issues,assistance to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
assistance to report registration issues,assistance to report registration issues,19,Registration Help & Issues,Registration Help & Issues
assistance to solve a payment issue,assistance to solve a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
assistance to solve issues with payment,assistance to solve issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
assistance to solve issues with payments,assistance to solve issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
assistance to solve payment issues,assistance to solve payment issues,17,Payment Issues Assistance,Payment Issues Assistance
assistance to talk to an agent,assistance to talk to an agent,12,Contact Live Agent,Contact Live Agent
buy some items,buy some items,21,Buying Assistance,Buying Assistance
check the early exit penaltie,check the early exit penalty,13,Cancellation Fees,Cancellation Fees
checking cancellation fee,checking cancellation fee,13,Cancellation Fees,Cancellation Fees
checking cancellation fees,checking cancellation fees,13,Cancellation Fees,Cancellation Fees
checking early termination penalties,checking early termination penalties,13,Cancellation Fees,Cancellation Fees
contacting agent,contacting agent,12,Contact Live Agent,Contact Live Agent
do you accept card?,do you accept card?,7,Accepted Payment Methods,Accepted Payment Methods
do you accept google pay?,do you accept google pay?,7,Accepted Payment Methods,Accepted Payment Methods
filing consumer reclamation against your company,filing consumer reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
help buying several items,help buying several items,21,Buying Assistance,Buying Assistance
help buying something,help buying something,21,Buying Assistance,Buying Assistance
help checking at what time customer assistance available is,help checking at what time customer assistance available is,8,Customer Service Contact & Hours,Customer Service Contact & Hours
help checking the withdrawal charges,help checking the withdrawal charges,13,Cancellation Fees,Cancellation Fees
help checking what options for delivery you offer,help checking what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
help editing my personal information,help editing my personal information,25,Edit Account Information,Edit Account Information
help filing a complaint against your business,help filing a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
help leaving a review for your company,help leaving a review for your company,23,Leaving a Review,Leaving a Review
help leaving a review for your services,help leaving a review for your services,23,Leaving a Review,Leaving a Review
help making a claim against your organization,help making a claim against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
help making a consumer reclamation against ur business,help making a consumer reclamation against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
help me buy some items,help me buy some items,21,Buying Assistance,Buying Assistance
help me buy something,help me buy something,21,Buying Assistance,Buying Assistance
help me buying several items,help me buying several items,21,Buying Assistance,Buying Assistance
help me contact someone,help me contact someone,12,Contact Live Agent,Contact Live Agent
help me contacting a person,help me contacting a person,12,Contact Live Agent,Contact Live Agent
help me contacting an operator,help me contacting an operator,12,Contact Live Agent,Contact Live Agent
help me file a consumer reclamation against your company,help me file a consumer reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
help me filing a complaint against your business,help me filing a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
help me leaving a review for a service,help me leaving a review for a service,23,Leaving a Review,Leaving a Review
help me leaving a review for your services,help me leaving a review for your services,23,Leaving a Review,Leaving a Review
help me lodging a complaint against your organization,help me lodging a complaint against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
help me modifying my personal information,help me modifying my personal information,25,Edit Account Information,Edit Account Information
help me recovering my account key,help me recovering my account key,16,Password Recovery,Password Recovery
help me register,help me register,19,Registration Help & Issues,Registration Help & Issues
help me registering,help me registering,19,Registration Help & Issues,Registration Help & Issues
help me removing several items,help me removing several items,5,Account Termination Requests,Account Termination Requests
help me report a payment issue,help me report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
help me report a registration issue,help me report a registration issue,19,Registration Help & Issues,Registration Help & Issues
help me report payment issues,help me report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
help me reporting a registration issue,help me reporting a registration issue,19,Registration Help & Issues,Registration Help & Issues
help me reporting registration issues,help me reporting registration issues,19,Registration Help & Issues,Registration Help & Issues
help me restore my pin code,help me restore my pin code,16,Password Recovery,Password Recovery
help me seeing the termination fee,help me seeing the termination fee,13,Cancellation Fees,Cancellation Fees
help me solve a payment issue,help me solve a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
help me solve issues with payments,help me solve issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
help me solve payment issues,help me solve payment issues,17,Payment Issues Assistance,Payment Issues Assistance
help me solving a payment issue,help me solving a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
help me solving payment issues,help me solving payment issues,17,Payment Issues Assistance,Payment Issues Assistance
help me speak to a live agent,help me speak to a live agent,12,Contact Live Agent,Contact Live Agent
help me talk to an agent,help me talk to an agent,12,Contact Live Agent,Contact Live Agent
help me talk with a live agent,help me talk with a live agent,12,Contact Live Agent,Contact Live Agent
help me to buy something,help me to buy something,21,Buying Assistance,Buying Assistance
help me to check what options for delivery you offer,help me to check what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
help me to contact someone,help me to contact someone,12,Contact Live Agent,Contact Live Agent
help me to report a registration issue,help me to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
help me to report issues with payments,help me to report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
