raw_query,cleaned_query,topic,topic_label,topic_label_final
acn ya help me creating a new online account,can you help me creating a new online account,10,Account Creation Assistance,Account Creation Assistance
add some items to an order,add some items to an order,9,Order Modifications,Order Modifications
adding product to last order,adding product to last order,9,Order Modifications,Order Modifications
allowed payment options,allowed payment options,7,Accepted Payment Methods,Accepted Payment Methods
am i entitled to a refund according to your policy?,am i entitled to a refund according to your policy?,1,Refunds Related Help,Refunds Related Help
any updates on my refund?,any updates on my refund?,15,Refunds Related Help,Refunds Related Help
anybody available at customer service,anybody available at customer service,8,Customer Service Contact & Hours,Customer Service Contact & Hours
anybody available in customer service,anybody available in customer service,8,Customer Service Contact & Hours,Customer Service Contact & Hours
anyone available at customer service,anyone available at customer service,8,Customer Service Contact & Hours,Customer Service Contact & Hours
anyone available in customer service,anyone available in customer service,8,Customer Service Contact & Hours,Customer Service Contact & Hours
anything new on my refund?,anything new on my refund?,15,Refunds Related Help,Refunds Related Help
are the charges for services refundable?,are the charges for services refundable?,1,Refunds Related Help,Refunds Related Help
are the charges for your services refundable?,are the charges for your services refundable?,1,Refunds Related Help,Refunds Related Help
are the charges of services refundable?,are the charges of services refundable?,1,Refunds Related Help,Refunds Related Help
are the service charges refundable?,are the service charges refundable?,1,Refunds Related Help,Refunds Related Help
are there cancellation fees?,are there cancellation fees?,13,Cancellation Fees,Cancellation Fees
assistance adding something,assistance adding something,9,Order Modifications,Order Modifications
assistance buying an item,assistance buying an item,21,Buying Assistance,Buying Assistance
assistance buying several of your item,assistance buying several of your item,21,Buying Assistance,Buying Assistance
assistance buying some of your item,assistance buying some of your item,21,Buying Assistance,Buying Assistance
assistance buying something,assistance buying something,21,Buying Assistance,Buying Assistance
assistance canceling my last order,assistance cancelling my last order,6,Order Cancellation,Order Cancellation
assistance canceling the company newsletter subscription,assistance cancelling the company newsletter subscription,18,Newsletter Management,Newsletter Management
assistance canceling the order i have made,assistance cancelling the order i have made,6,Order Cancellation,Order Cancellation
assistance cancelling an order i made,assistance cancelling an order i made,6,Order Cancellation,Order Cancellation
assistance cancelling my order,assistance cancelling my order,6,Order Cancellation,Order Cancellation
assistance cancelling my subscription to the newsletter,assistance cancelling my subscription to the newsletter,18,Newsletter Management,Newsletter Management
assistance cancelling the last order,assistance cancelling the last order,6,Order Cancellation,Order Cancellation
assistance cancelling the last order i made,assistance cancelling the last order i made,6,Order Cancellation,Order Cancellation
assistance cancelling the newsletter subscription,assistance cancelling the newsletter subscription,18,Newsletter Management,Newsletter Management
assistance cancelling the order i made,assistance cancelling the order i made,6,Order Cancellation,Order Cancellation
assistance cancelling the subscription tl the newsletter,assistance cancelling the subscription to the newsletter,18,Newsletter Management,Newsletter Management
assistance changing my shipping address,assistance changing my shipping address,0,Change Delivery Address,Change Delivery Address
assistance changing some of the details on my user profile,assistance changing some of the details on my user profile,26,Changing User Profiles,Changing User Profiles
assistance changing the last order i made,assistance changing the last order i made,9,Order Modifications,Order Modifications
assistance changing to a different account,assistance changing to a different account,14,Switching Accounts,Switching Accounts
assistance changing to a new user profile,assistance changing to a new user profile,26,Changing User Profiles,Changing User Profiles
assistance checking how long refunds take,assistance checking how long refunds take,15,Refunds Related Help,Refunds Related Help
assistance checking how long refunds usually take,assistance checking how long refunds usually take,15,Refunds Related Help,Refunds Related Help
assistance checking how long the delivery takes,assistance checking how long the delivery takes,22,Delivery Time Inquiry,Delivery Time Inquiry
assistance checking how soon can i expect the delivery,assistance checking how soon can i expect the delivery,22,Delivery Time Inquiry,Delivery Time Inquiry
assistance checking if there is anything new on my refund,assistance checking if there is anything new on my refund,15,Refunds Related Help,Refunds Related Help
assistance checking my invoices,assistance checking my invoices,24,Invoice Retrieval,Invoice Retrieval
assistance checking the cancellation fee,assistance checking the cancellation fee,13,Cancellation Fees,Cancellation Fees
assistance checking the cancellation fees,assistance checking the cancellation fees,13,Cancellation Fees,Cancellation Fees
assistance checking the delivery options,assistance checking the delivery options,4,Checking Delivery Options,Checking Delivery Options
assistance checking the invoice from two purchases ago,assistance checking the invoice from two purchases ago,11,Invoice Retrieval,Invoice Retrieval
assistance checking the options for delivery,assistance checking the options for delivery,4,Checking Delivery Options,Checking Delivery Options
assistance checking the refund status,assistance checking the refund status,15,Refunds Related Help,Refunds Related Help
assistance checking the status of my order,assistance checking the status of my order,2,Order Tracking,Order Tracking
assistance checking the status of my refund,assistance checking the status of my refund,15,Refunds Related Help,Refunds Related Help
assistance checking the status of the refund,assistance checking the status of the refund,15,Refunds Related Help,Refunds Related Help
assistance checking what delivery options are available,assistance checking what delivery options are available,4,Checking Delivery Options,Checking Delivery Options
